,terms,sentiment,polarity
196,accompanying,positive,0.5585585585585585
197,accomplice,positive,0.5434782608695652
198,accomplices,negative,0.2777777777777778
199,accomplish,positive,0.5885714285714285
200,accomplished,positive,0.6280701754385964
201,accomplishes,positive,0.8048780487804879
202,accomplishing,positive,0.6
203,accomplishment,positive,0.5581395348837209
204,accomplishments,positive,0.6190476190476191
205,accord,negative,0.5
206,accordance,positive,0.7222222222222222
207,accorded,positive,0.5714285714285714
208,accordian,positive,1.0
209,according,negative,0.4653179190751445
210,accordingly,negative,0.43137254901960786
211,accordion,positive,0.875
212,accorsi,positive,1.0
213,accosted,positive,0.6
214,accosts,negative,0.5
215,account,positive,0.5202702702702703
216,accountability,negative,0.5
217,accountable,negative,0.0
218,accountant,positive,0.603448275862069
219,accountants,negative,0.25
220,accounted,negative,0.5
221,accounting,positive,0.6666666666666666
222,accounts,negative,0.46206896551724136
223,accrued,positive,0.75
224,accumulate,positive,0.7777777777777778
225,accumulated,positive,0.631578947368421
226,accumulating,positive,0.5714285714285714
227,accumulation,negative,0.2727272727272727
228,accuracies,negative,0.3333333333333333
229,accuracy,positive,0.5729166666666666
230,accurate,positive,0.6173020527859238
231,accurately,positive,0.5823529411764706
232,accusation,positive,0.5238095238095238
233,accusations,negative,0.45588235294117646
234,accuse,positive,0.52
235,accused,positive,0.6018808777429467
236,accuser,negative,0.2
237,accusers,negative,0.0
238,accuses,negative,0.3684210526315789
239,accusing,negative,0.3333333333333333
240,accustomed,positive,0.7575757575757576
241,ace,positive,0.5945945945945946
242,acerbic,positive,0.64
243,aces,negative,0.25
244,acetylene,negative,0.0
245,acharya,negative,0.0
246,ache,positive,0.5833333333333334
247,ached,positive,0.7777777777777778
248,achieve,positive,0.538083538083538
249,achieved,positive,0.6512345679012346
250,achievement,positive,0.745819397993311
251,achievements,positive,0.7019230769230769
252,achiever,positive,0.75
253,achieves,positive,0.6896551724137931
254,achieving,positive,0.6219512195121951
255,achilleas,positive,1.0
256,achilles,positive,0.7068965517241379
257,aching,positive,0.5757575757575758
258,achingly,positive,0.6578947368421053
259,acid,negative,0.39195979899497485
260,acidic,positive,0.7333333333333333
261,ack,negative,0.5
262,ackerman,negative,0.0
263,ackland,positive,0.925
264,acknowledge,positive,0.5365853658536586
265,acknowledged,positive,0.7222222222222222
266,acknowledgement,positive,0.5789473684210527
267,acknowledges,positive,0.5652173913043478
268,acknowledging,negative,0.1111111111111111
269,acknowledgment,negative,0.5
270,ackroyd,positive,0.7307692307692307
271,aclu,negative,0.5
272,acme,positive,0.8
273,acne,negative,0.4444444444444444
274,acolyte,positive,0.5714285714285714
275,acolytes,negative,0.2
276,acorn,positive,0.8571428571428571
277,acosta,negative,0.42857142857142855
278,acoustic,positive,0.5909090909090909
279,acquaintance,positive,0.7068965517241379
280,acquaintances,negative,0.5
281,acquainted,positive,0.631578947368421
282,acquart,positive,0.8888888888888888
283,acquire,negative,0.3142857142857143
284,acquired,positive,0.6240601503759399
285,acquires,negative,0.46153846153846156
286,acquiring,positive,0.6
287,acquisition,negative,0.5
288,acquit,negative,0.4482758620689655
289,acquits,negative,0.4117647058823529
290,acquittal,negative,0.25
291,acquitted,positive,0.5416666666666666
292,acre,positive,0.6428571428571429
293,acres,positive,0.5333333333333333
294,acrid,positive,1.0
295,acrimonious,positive,1.0
296,acrobat,positive,0.6666666666666666
297,acrobatic,negative,0.48148148148148145
298,acrobatics,positive,0.6666666666666666
299,acronym,negative,0.5
300,act,negative,0.42809252430439154
301,acte,negative,0.0
302,acted,positive,0.5133587786259542
303,acting,negative,0.3735181706290082
304,actings,positive,0.6
305,action,positive,0.5192602040816326
306,actioner,negative,0.375
307,actioners,positive,0.6
308,actionpacked,positive,0.6
309,actions,positive,0.6021080368906456
310,actionscenes,negative,0.0
311,actium,negative,0.0
312,activate,negative,0.2857142857142857
313,activated,negative,0.2
314,activates,negative,0.3333333333333333
315,active,positive,0.5963855421686747
316,actively,negative,0.4915254237288136
317,activism,positive,0.8571428571428571
318,activist,positive,0.7454545454545455
319,activists,positive,0.8108108108108109
320,activities,positive,0.595
321,activity,positive,0.5138888888888888
322,actor,negative,0.5040071237756011
323,actors,negative,0.44915333520441575
324,actress,positive,0.5147161878065872
325,actresses,positive,0.552479815455594
326,acts,negative,0.4772727272727273
327,actual,negative,0.4454794520547945
328,actualities,positive,0.6
329,actuality,positive,0.5238095238095238
330,actually,negative,0.4097585017249877
331,actualy,positive,0.8333333333333334
332,acually,negative,0.0
333,acumen,negative,0.4
334,acute,positive,0.5625
335,acutely,positive,0.7222222222222222
336,ad,negative,0.4421052631578947
337,ada,positive,0.5555555555555556
338,adage,negative,0.3125
339,adam,positive,0.5522620904836193
340,adama,negative,0.5
341,adamant,negative,0.42105263157894735
342,adamantly,positive,0.5714285714285714
343,adams,positive,0.5546218487394958
344,adamson,negative,0.40384615384615385
345,adapt,positive,0.5566037735849056
346,adaptable,negative,0.3333333333333333
347,adaptation,positive,0.5145067698259188
348,adaptations,positive,0.5566502463054187
349,adapted,positive,0.617737003058104
350,adapter,negative,0.45454545454545453
351,adapting,negative,0.47297297297297297
352,adaption,negative,0.45038167938931295
353,adaptions,positive,0.5714285714285714
354,adapts,positive,0.8235294117647058
355,add,negative,0.43993917891535733
356,addams,negative,0.38461538461538464
357,added,positive,0.5212962962962963
358,addendum,positive,0.6
359,adder,positive,0.6666666666666666
360,addict,positive,0.5276073619631901
361,addicted,positive,0.6511627906976745
362,addicting,positive,0.8
363,addiction,positive,0.6470588235294118
364,addictions,positive,0.9565217391304348
365,addictive,positive,0.7551020408163265
366,addicts,positive,0.5636363636363636
367,addie,positive,1.0
368,adding,positive,0.5240384615384616
369,addison,negative,0.16
370,addition,positive,0.5751231527093597
371,additional,positive,0.6419753086419753
372,additionally,negative,0.4397163120567376
373,additions,negative,0.42857142857142855
374,addled,negative,0.34615384615384615
375,address,positive,0.5524861878453039
376,addressed,negative,0.49122807017543857
377,addresses,positive,0.6428571428571429
378,addressing,positive,0.6323529411764706
379,adds,positive,0.6927639383155397
380,addy,negative,0.07142857142857142
381,ade,negative,0.5
382,adela,positive,0.8571428571428571
383,adelaide,positive,0.9180327868852459
384,adele,positive,0.9605263157894737
385,adeline,positive,1.0
386,adelle,positive,1.0
387,aden,negative,0.3333333333333333
388,adenoid,positive,0.8181818181818182
389,adentro,positive,1.0
390,adept,positive,0.7419354838709677
391,adeptly,positive,0.631578947368421
392,adequate,negative,0.4331983805668016
393,adequately,negative,0.38202247191011235
394,adgth,negative,0.5
395,adhd,negative,0.125
396,adhere,positive,0.5263157894736842
397,adhered,positive,0.8333333333333334
398,adherence,negative,0.391304347826087
399,adherents,negative,0.2857142857142857
400,adheres,positive,0.6666666666666666
401,adhering,positive,0.7333333333333333
402,adieu,positive,0.6923076923076923
403,adios,negative,0.16666666666666666
404,aditya,positive,0.8157894736842105
405,adjacent,negative,0.43478260869565216
406,adjani,positive,0.9142857142857143
407,adjective,negative,0.4642857142857143
408,adjectives,positive,0.5909090909090909
409,adjl,negative,0.0
410,adjoining,negative,0.125
411,adjust,positive,0.8775510204081632
412,adjusted,positive,0.7931034482758621
413,adjusting,positive,0.6666666666666666
414,adjustment,positive,0.7368421052631579
415,adjustments,positive,0.6363636363636364
416,adjusts,negative,0.42857142857142855
417,adkins,positive,0.7692307692307693
418,adler,positive,0.6
419,administer,positive,0.8
420,administered,negative,0.18181818181818182
421,administration,negative,0.4533333333333333
422,administrations,negative,0.25
423,administrative,positive,0.5714285714285714
424,administrator,positive,0.631578947368421
425,administrators,positive,0.6666666666666666
426,admirable,positive,0.6
427,admirably,positive,0.8064516129032258
428,admiral,positive,0.5135135135135135
429,admiralty,negative,0.5
430,admiration,positive,0.6574074074074074
431,admire,positive,0.5448717948717948
432,admired,positive,0.626984126984127
433,admirer,positive,0.5420560747663551
434,admirers,negative,0.46153846153846156
435,admires,positive,0.6764705882352942
436,admiring,negative,0.46511627906976744
437,admission,positive,0.6386554621848739
438,admissions,positive,0.8888888888888888
439,admit,negative,0.49930747922437674
440,admits,positive,0.672566371681416
441,admittance,negative,0.3333333333333333
442,admitted,positive,0.5565217391304348
443,admittedly,negative,0.4169381107491857
444,admitting,positive,0.5609756097560976
445,admonishing,positive,0.75
446,ado,negative,0.34782608695652173
447,adobe,negative,0.5
448,adolescence,positive,0.6666666666666666
449,adolescent,negative,0.49714285714285716
450,adolescents,negative,0.4473684210526316
451,adolf,positive,0.5652173913043478
452,adolph,positive,0.7083333333333334
453,adonijah,negative,0.0
454,adonis,negative,0.16666666666666666
455,adopt,positive,0.5507246376811594
456,adopted,positive,0.5465116279069767
457,adopting,positive,0.7727272727272727
458,adoption,negative,0.46153846153846156
459,adoptive,positive,0.75
460,adopts,positive,0.6666666666666666
461,adorable,positive,0.7142857142857143
462,adorably,positive,0.8181818181818182
463,adoration,positive,0.7777777777777778
464,adore,positive,0.6014492753623188
465,adored,positive,0.6883116883116883
466,adoree,positive,1.0
467,adores,positive,0.7307692307692307
468,adoring,positive,0.6206896551724138
469,adoringly,positive,0.75
470,adorn,positive,0.8
471,adorned,positive,0.6923076923076923
472,adorning,positive,0.8
473,adorns,negative,0.25
474,adp,positive,1.0
475,adr,negative,0.3333333333333333
476,adrenalin,positive,0.6086956521739131
477,adrenaline,positive,0.5396825396825397
478,adrian,positive,0.6148148148148148
479,adriana,positive,0.8333333333333334
480,adrianne,negative,0.08333333333333333
481,adriano,negative,0.0
482,adriatic,negative,0.5
483,adrien,positive,0.6
484,adrienne,negative,0.44
485,adrift,negative,0.21739130434782608
486,adroit,positive,0.7777777777777778
487,adroitly,positive,0.8333333333333334
488,ads,negative,0.30275229357798167
489,adulation,positive,0.6666666666666666
490,adult,positive,0.6190476190476191
491,adulterer,negative,0.4
492,adulteress,positive,0.8461538461538461
493,adulterous,negative,0.4878048780487805
494,adultery,negative,0.48936170212765956
495,adulthood,positive,0.803030303030303
496,adults,positive,0.5712589073634204
497,adv,negative,0.14285714285714285
498,advance,negative,0.4336283185840708
499,advanced,positive,0.6567164179104478
500,advancement,positive,0.5576923076923077
501,advancements,positive,0.7
502,advances,positive,0.5686274509803921
503,advancing,positive,0.7560975609756098
504,advani,negative,0.0
505,advantage,positive,0.6066481994459834
506,advantages,positive,0.6
507,advent,positive,0.7142857142857143
508,adventists,positive,0.7142857142857143
509,adventure,positive,0.685337726523888
510,adventurer,positive,0.6666666666666666
511,adventurers,positive,0.5217391304347826
512,adventures,positive,0.6415478615071283
513,adventuresome,negative,0.5
514,adventurous,positive,0.7096774193548387
515,adventurousness,positive,0.8
516,adversaries,positive,0.6470588235294118
517,adversary,positive,0.7441860465116279
518,adverse,positive,0.6296296296296297
519,adversely,positive,0.5714285714285714
520,adversity,positive,0.8309859154929577
521,advert,positive,0.5862068965517241
522,advertise,positive,0.72
523,advertised,negative,0.36428571428571427
524,advertisement,negative,0.4492753623188406
525,advertisements,negative,0.41025641025641024
526,advertisers,positive,0.5833333333333334
527,advertises,positive,0.5714285714285714
528,advertising,negative,0.3964757709251101
529,adverts,negative,0.23529411764705882
530,advice,negative,0.3281004709576138
531,advices,positive,1.0
532,advisable,positive,0.6
533,advise,negative,0.34375
534,advised,negative,0.48412698412698413
535,adviser,positive,0.6481481481481481
536,advisers,positive,0.6666666666666666
537,advises,negative,0.4838709677419355
538,advising,positive,0.6666666666666666
539,advisor,negative,0.375
540,advisors,negative,0.4
541,advisory,negative,0.0
542,advocate,positive,0.5869565217391305
543,advocated,negative,0.2
544,advocates,positive,0.7692307692307693
545,advocating,negative,0.14285714285714285
546,ae,positive,1.0
547,aeon,negative,0.06666666666666667
548,aerial,positive,0.7051282051282052
549,aeris,negative,0.5
550,aerobics,negative,0.07692307692307693
551,aerodynamics,negative,0.2857142857142857
552,aeronautical,positive,0.75
553,aeroplane,negative,0.3333333333333333
554,aerosmith,negative,0.25
555,aerosol,negative,0.25
556,aesir,negative,0.0
557,aesthetic,positive,0.5575221238938053
558,aesthetically,negative,0.4772727272727273
559,aesthetics,positive,0.5789473684210527
560,af,negative,0.42857142857142855
561,afar,negative,0.42857142857142855
562,afb,positive,1.0
563,afew,positive,0.8
564,affable,positive,0.6046511627906976
565,affair,positive,0.5351609058402861
566,affairs,positive,0.656084656084656
567,affect,positive,0.729064039408867
568,affectation,positive,0.875
569,affectations,positive,0.7142857142857143
570,affected,positive,0.6666666666666666
571,affecting,positive,0.7798165137614679
572,affection,positive,0.8104265402843602
573,affectionate,positive,0.7755102040816326
574,affectionately,positive,0.56
575,affections,positive,0.704225352112676
576,affective,positive,1.0
577,affects,positive,0.6715328467153284
578,affiliate,negative,0.5
579,affiliated,negative,0.5
580,affiliation,negative,0.4444444444444444
581,affinity,positive,0.5833333333333334
582,affirm,negative,0.15384615384615385
583,affirmation,positive,0.7368421052631579
584,affirmations,positive,0.6
585,affirmative,negative,0.375
586,affirmed,positive,0.5833333333333334
587,affirming,positive,0.6923076923076923
588,affirms,positive,0.7
589,affleck,negative,0.1875
590,afflicted,negative,0.48717948717948717
591,affliction,positive,0.5217391304347826
592,affluent,positive,0.8095238095238095
593,afford,negative,0.43902439024390244
594,affordable,positive,0.8095238095238095
595,afforded,positive,0.6129032258064516
596,affords,positive,0.6190476190476191
597,affront,negative,0.07142857142857142
598,afganistan,positive,0.5714285714285714
599,afghan,positive,0.8333333333333334
600,afghanistan,negative,0.49635036496350365
601,afghans,positive,0.8571428571428571
602,afi,positive,0.8541666666666666
603,aficionado,positive,0.5641025641025641
604,aficionados,positive,0.5675675675675675
605,afloat,negative,0.43902439024390244
606,afm,positive,1.0
607,afoot,negative,0.47368421052631576
608,afore,negative,0.45161290322580644
609,aforementioned,negative,0.375886524822695
610,aforesaid,negative,0.5
611,afoul,negative,0.3939393939393939
612,afraid,negative,0.47368421052631576
613,africa,positive,0.5793991416309013
614,african,positive,0.5672913117546848
615,africans,positive,0.5490196078431373
616,afrika,positive,0.8
617,afrikaans,positive,0.7142857142857143
618,afro,positive,0.6153846153846154
619,afroreggae,negative,0.5
620,afros,negative,0.2
621,aft,negative,0.375
622,aftab,negative,0.25
623,afterall,negative,0.4090909090909091
624,aftereffects,negative,0.42857142857142855
625,afterlife,negative,0.49230769230769234
626,aftermath,positive,0.6774193548387096
627,afternoon,positive,0.5552884615384616
628,afternoons,positive,0.75
629,afterschool,negative,0.1
630,aftertaste,negative,0.3333333333333333
631,afterthought,negative,0.328125
632,afterthoughts,negative,0.125
633,afterward,positive,0.6159420289855072
634,afterwords,negative,0.21875
635,ag,positive,0.9
636,agamemnon,positive,0.8
637,agape,negative,0.47058823529411764
638,agar,negative,0.07692307692307693
639,agashe,positive,0.75
640,agatha,positive,0.6705882352941176
641,age,positive,0.6157831805500199
642,aged,positive,0.5141242937853108
643,agee,positive,1.0
644,ageing,positive,0.5357142857142857
645,ageless,negative,0.3
646,agencies,positive,0.625
647,agency,positive,0.5644171779141104
648,agenda,negative,0.3825136612021858
649,agendas,positive,0.5714285714285714
650,agent,negative,0.49943374858437145
651,agents,negative,0.4094488188976378
652,ager,positive,0.7777777777777778
653,agers,negative,0.5
654,ages,positive,0.7242647058823529
655,agey,negative,0.14285714285714285
656,aggie,positive,1.0
657,aggrandizement,negative,0.25
658,aggrandizing,negative,0.4
659,aggravate,negative,0.375
660,aggravated,positive,0.5333333333333333
661,aggravates,negative,0.375
662,aggravating,negative,0.29411764705882354
663,aggravatingly,negative,0.2
664,aggravation,positive,0.75
665,aggression,positive,0.5166666666666667
666,aggressive,positive,0.5467625899280576
667,aggressively,negative,0.36666666666666664
668,aggressiveness,negative,0.5
669,aggressor,positive,0.6363636363636364
670,aggressors,negative,0.4
671,aggrieved,negative,0.16666666666666666
672,aghast,negative,0.38095238095238093
673,agi,positive,1.0
674,agile,positive,0.6
675,agility,positive,0.8333333333333334
676,agin,negative,0.375
677,aging,positive,0.6031746031746031
678,agis,negative,0.0
679,agitated,negative,0.47619047619047616
680,agito,negative,0.0
681,agitprop,negative,0.375
682,agnes,negative,0.4909090909090909
683,agnostic,negative,0.3076923076923077
684,ago,positive,0.5759055759055759
685,agonies,positive,1.0
686,agonising,positive,0.5833333333333334
687,agonisingly,negative,0.2857142857142857
688,agonize,positive,0.6
689,agonized,negative,0.3333333333333333
690,agonizes,negative,0.5
691,agonizing,negative,0.22413793103448276
692,agonizingly,negative,0.32
693,agony,negative,0.36666666666666664
694,agree,negative,0.5050143266475645
695,agreeable,positive,0.7272727272727273
696,agreeably,positive,0.7777777777777778
697,agreed,negative,0.3333333333333333
698,agreeing,negative,0.24074074074074073
699,agreement,positive,0.6575342465753424
700,agreements,positive,0.7
701,agrees,positive,0.6049382716049383
702,agren,negative,0.0
703,agricultural,negative,0.2727272727272727
704,agriculture,negative,0.3333333333333333
705,agrippina,negative,0.0
706,aguilar,negative,0.2
707,aguirre,negative,0.5
708,agusti,positive,1.0
709,agutter,positive,0.6363636363636364
710,ah,negative,0.4020979020979021
711,aha,negative,0.2608695652173913
712,ahab,negative,0.24
713,ahead,positive,0.5506465517241379
714,ahem,negative,0.2
715,aherne,positive,1.0
716,ahh,positive,0.5945945945945946
717,ahhh,negative,0.3333333333333333
718,ahhhh,negative,0.25
719,ahista,positive,1.0
720,ahmad,positive,1.0
721,ahmed,positive,0.8571428571428571
722,ahn,positive,1.0
723,ahna,positive,0.8333333333333334
724,ahoy,negative,0.2
725,ai,positive,0.5714285714285714
726,aid,positive,0.548936170212766
727,aida,positive,0.6
728,aidan,positive,0.8285714285714286
729,aide,positive,0.5277777777777778
730,aided,positive,0.6554621848739496
731,aiden,negative,0.3409090909090909
732,aides,negative,0.46153846153846156
733,aiding,negative,0.47368421052631576
734,aids,positive,0.6586538461538461
735,aiello,positive,0.8387096774193549
736,aihara,positive,1.0
737,aiken,positive,0.8461538461538461
738,aikido,negative,0.1111111111111111
739,aileen,positive,0.7894736842105263
740,ailing,positive,0.6909090909090909
741,ailment,negative,0.09090909090909091
742,ailments,positive,0.6
743,aim,negative,0.39593908629441626
744,aimants,positive,0.6666666666666666
745,aime,positive,0.6896551724137931
746,aimed,negative,0.39655172413793105
747,aimee,positive,0.5806451612903226
748,aiming,negative,0.2773722627737226
749,aimless,negative,0.3088235294117647
750,aimlessly,negative,0.1746031746031746
751,aims,negative,0.44594594594594594
752,ain,negative,0.3669250645994832
753,aint,negative,0.3194444444444444
754,aip,negative,0.07692307692307693
755,air,negative,0.5032010243277849
756,airborne,negative,0.15384615384615385
757,airbrushed,negative,0.0
758,aircraft,negative,0.3233082706766917
759,aircrafts,negative,0.0
760,aired,positive,0.6627906976744186
761,aires,positive,0.5454545454545454
762,airhead,negative,0.27586206896551724
763,airheaded,positive,1.0
764,airheads,negative,0.125
765,airing,positive,0.5977011494252874
766,airlift,negative,0.15384615384615385
767,airlifted,negative,0.2222222222222222
768,airline,negative,0.16666666666666666
769,airliner,negative,0.38095238095238093
770,airlines,negative,0.5
771,airman,positive,0.6923076923076923
772,airmen,negative,0.4
773,airplane,negative,0.42578125
774,airplanes,positive,0.5897435897435898
775,airplay,positive,0.6
776,airport,negative,0.332089552238806
777,airports,negative,0.4
778,airs,positive,0.6111111111111112
779,airship,positive,0.6666666666666666
780,airships,positive,1.0
781,airstrip,negative,0.2
782,airtight,positive,0.5714285714285714
783,airtime,negative,0.1111111111111111
784,airwaves,positive,0.56
785,airways,negative,0.4
786,airwolf,positive,0.8571428571428571
787,airy,positive,0.5714285714285714
788,aishwarya,positive,0.7272727272727273
789,aisle,positive,0.6551724137931034
790,aisles,positive,0.5454545454545454
791,aisling,positive,0.9166666666666666
792,aito,positive,1.0
793,aj,positive,0.6875
794,aja,negative,0.23809523809523808
795,ajax,negative,0.047619047619047616
796,ajay,negative,0.02666666666666667
797,ajeeb,positive,1.0
798,ajnabi,positive,1.0
799,ak,negative,0.17857142857142858
800,aka,negative,0.4584269662921348
801,akane,positive,0.9333333333333333
802,akasha,positive,0.9166666666666666
803,akeem,positive,1.0
804,akhenaton,positive,1.0
805,akhnaton,positive,0.9
806,akhras,negative,0.0
807,aki,negative,0.5
808,akin,positive,0.5370370370370371
809,akins,negative,0.3333333333333333
810,akira,positive,0.851063829787234
811,akki,negative,0.375
812,akosua,positive,1.0
813,akroyd,negative,0.3333333333333333
814,akshay,negative,0.37714285714285717
815,akshaye,positive,0.5625
816,akshays,positive,0.6
817,akshey,negative,0.0
818,aku,positive,1.0
819,akward,negative,0.4
820,akyroyd,positive,0.75
821,al,positive,0.5243101182654402
822,ala,negative,0.41739130434782606
823,alabama,positive,0.625
824,aladdin,positive,0.5714285714285714
825,alahani,negative,0.3333333333333333
826,alaimo,negative,0.0
827,alain,positive,0.7567567567567568
828,alamo,positive,0.6428571428571429
829,alamos,positive,0.6666666666666666
830,alan,positive,0.6096256684491979
831,alana,negative,0.5
832,alanis,negative,0.4444444444444444
833,alans,negative,0.5
834,alaric,negative,0.0
835,alarm,negative,0.4105263157894737
836,alarmed,positive,0.75
837,alarming,negative,0.4230769230769231
838,alarmingly,positive,0.5833333333333334
839,alarmist,negative,0.16666666666666666
840,alarms,negative,0.16666666666666666
841,alas,negative,0.30997304582210244
842,alaska,positive,0.5306122448979592
843,alaskan,positive,0.5454545454545454
844,alastair,positive,0.8235294117647058
